cell,type
MGH45_P8_B10,nonTumor
MGH45_P8_C01,nonTumor
MGH45_P8_C03,nonTumor
MGH45_P8_C06,nonTumor
MGH45_P8_C10,nonTumor
MGH45_P8_D04,nonTumor
MGH45_P8_D06,nonTumor
MGH45_P8_D08,nonTumor
MGH45_P8_E02,nonTumor
MGH45_P8_E04,nonTumor
MGH45_P8_E09,nonTumor
MGH45_P8_F03,nonTumor
MGH45_P8_F12,nonTumor
MGH45_P8_G03,nonTumor
MGH45_P8_G04,nonTumor
MGH45_P8_G12,nonTumor
MGH45_P6_A07,nonTumor
MGH45_P6_A10,nonTumor
MGH45_P6_A12,nonTumor
MGH45_P6_C03,nonTumor
MGH45_P6_C04,nonTumor
MGH45_P6_C06,nonTumor
MGH45_P6_D03,nonTumor
MGH45_P6_D12,nonTumor
MGH45_P6_E04,nonTumor
MGH45_P6_E12,nonTumor
MGH45_P6_F03,nonTumor
MGH45_P6_F08,nonTumor
MGH45_P6_G05,nonTumor
MGH45_P6_G06,nonTumor
MGH45_P6_G07,nonTumor
MGH45_P6_G09,nonTumor
MGH45_P1_A02,nonTumor
MGH45_P1_A07,nonTumor
MGH45_P1_A12,nonTumor
MGH45_P1_B03,nonTumor
MGH45_P1_B06,nonTumor
MGH45_P1_B08,nonTumor
MGH45_P1_B09,nonTumor
MGH45_P1_C03,nonTumor
MGH45_P1_C06,nonTumor
MGH45_P1_C12,nonTumor
MGH45_P1_D01,nonTumor
MGH45_P1_D04,nonTumor
MGH45_P1_D11,nonTumor
MGH45_P1_H02,nonTumor
MGH45_P1_H06,nonTumor
MGH45_P1_H10,nonTumor
MGH45_P1_H11,nonTumor
